,id,title,genre,original_price,discounted_price,release_date,developer,publisher,overall_rating,overall_vote_count,recent_rating,recent_vote_count,metacritic_score,tags,awards,description,platforms,minimum_requirements,recommended_requirements,similar_games
0,730,Counter-Strike: Global Offensive,Action,Free,Free,"21 Aug, 2012","Valve, Hidden Path Entertainment",Valve,Very Positive,130096,Very Positive,4480874,83,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",,Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago.,"['win', 'mac', 'linux']",,,"[240, 359550, 393380, 10, 581320, 291480, 202970, 107410, 578080, 493520, 218230, 218620, 440, 418460, 570, 24960, 550650, 550]"
1,240,Counter-Strike: Source,Action,₹ 349,₹ 349,"1 Nov, 2004",Valve,Valve,Overwhelmingly Positive,1240,Overwhelmingly Positive,65620,88,"['Shooter', 'Action', 'FPS', 'Multiplayer', 'Team-Based', 'First-Person', 'Tactical', 'Competitive', 'PvP', 'eSports', 'Military', 'War', 'Strategy', 'Moddable', 'Difficult', 'Singleplayer', 'Atmospheric', 'Survival', 'Simulation', 'Sandbox']",,THE NEXT INSTALLMENT OF THE WORLD'S # 1 ONLINE ACTION GAME,"['win', 'mac', 'linux']",,,"[730, 359550, 10, 393380, 202970, 218230, 578080, 1238820, 291480, 107410, 581320, 493520, 24960, 418460, 1238860, 550650, 1237970, 218620]"
2,359550,Tom Clancy's Rainbow Six® Siege,Action,₹ 999,₹ 999,"1 Dec, 2015",Ubisoft Montreal,Ubisoft,Very Positive,16085,Very Positive,575699,0,"['FPS', 'Hero Shooter', 'Multiplayer', 'Tactical', 'Shooter', 'Team-Based', 'Action', 'First-Person', 'Competitive', 'Co-op', 'Strategy', 'Realistic', 'Online Co-Op', 'Destruction', 'Physics', 'Psychological Horror', 'Atmospheric', 'Massively Multiplayer', 'Singleplayer', 'Casual']",,,['win'],"['OS: Windows 7, Windows 8.1, Windows 10 (64bit versions required)', 'Processor: Intel Core i3 560 @ 3.3 GHz or AMD Phenom II X4 945 @ 3.0 GHz', 'Memory: 6 GB RAM', 'Graphics: NVIDIA GeForce GTX 460 or AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM)', 'Network: Broadband Internet connection', 'Storage: 61 GB available space', 'Sound Card: DirectX® 9.0c compatible sound card with latest drivers', 'Additional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.']","['OS: Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions required)', 'Processor: Intel Core i5-2500K @ 3.3 GHz or better or AMD FX-8120 @ 3.1 Ghz or better', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 670 (or GTX 760 / GTX 960) or AMD Radeon HD 7970 (or R9 280x [2GB VRAM] / R9 380 / Fury X)', 'Network: Broadband Internet connection', 'Storage: 61 GB available space', 'Sound Card: DirectX® 9.0c compatible sound card 5.1 with latest drivers', 'Additional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.']","[440, 730, 444090, 393380, 493520, 311210, 202970, 1237970, 218620, 581320, 1238820, 578080, 240, 107410, 218230, 24960, 291480, 10]"
3,393380,Squad,Action,"₹ 1,393","₹ 1,393","14 Dec, 2015",Offworld Industries,Offworld Industries,Very Positive,1069,Very Positive,36941,0,"['Military', 'FPS', 'Realistic', 'Multiplayer', 'Tactical', 'Shooter', 'War', 'Team-Based', 'Action', 'First-Person', 'Strategy', 'Simulation', 'Early Access', 'Open World', 'Co-op', 'Massively Multiplayer', 'Atmospheric', 'Walking Simulator', 'Indie', 'RPG']",,,['win'],"['Requires a 64-bit processor and operating system', 'OS: Windows 7 SP1 (x64)', 'Processor: Intel Core i or AMD Ryzen with 4 physical cores', 'Memory: 8 GB RAM', 'Graphics: Geforce GTX 770 or AMD Radeon HD 7870 with at least 4 GB of VRAM', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 55 GB available space', 'Additional Notes: A teamwork oriented mindset']","['Requires a 64-bit processor and operating system', 'OS: Windows 7 SP1 (x64), Windows 8 (x64), Windows 10 (x64)', 'Processor: Intel Core i or AMD Ryzen with 6 physical cores', 'Memory: 16 GB RAM', 'Graphics: Nvidia GTX 1060 or AMD Radeon 570 with at least 6GB of VRAM', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Storage: 55 GB available space', 'Additional Notes: A microphone']","[107410, 581320, 730, 418460, 359550, 736220, 24960, 686810, 291480, 236390, 552990, 218230, 240, 550650, 202970, 242860, 496240, 223750]"
4,10,Counter-Strike,Action,₹ 349,₹ 349,"1 Nov, 2000",Valve,Valve,Overwhelmingly Positive,1689,Overwhelmingly Positive,89492,88,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'First-Person', 'Competitive', 'Tactical', ""1990's"", 'eSports', 'PvP', 'Old School', 'Military', 'Strategy', 'Masterpiece', 'Survival', 'Score Attack', '1980s', 'Assassin']",,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,"['win', 'mac', 'linux']",,,"[730, 240, 359550, 393380, 202970, 578080, 976730, 24960, 218230, 493520, 1238820, 218620, 291480, 1237970, 581320, 440, 107410, 550]"
5,581320,Insurgency: Sandstorm,Action,₹ 999,₹ 499,"12 Dec, 2018",New World Interactive,Focus Home Interactive,Very Positive,1277,Very Positive,38671,78,"['FPS', 'Realistic', 'Shooter', 'Action', 'Multiplayer', 'Military', 'Tactical', 'First-Person', 'Online Co-Op', 'War', 'Co-op', 'Violent', 'Gore', 'Atmospheric', 'Difficult', 'Simulation', 'Open World', 'Massively Multiplayer', 'Indie', 'Choices Matter']","<div class=""game_page_autocollapse"" style=""max-height: 400px;"">
<a href=""https://steamcommunity.com/linkfilter/?url=https://www.gameinformer.com/2019/01/11/the-2018-shooter-awards"" rel=""noopener"" target=""_blank"">Game Informer 2018 Shooter Awards - Best Sound Design</a> <br/><br/><a href=""https://steamcommunity.com/linkfilter/?url=https://gnd-tech.com/2019/01/2018-game-of-the-year-awards/"" rel=""noopener"" target=""_blank"">GND-Tech 2018 Game of the Year Awards - Best Sound Effects</a> </div>",,['win'],"['Requires a 64-bit processor and operating system', 'OS: Windows 7/8/10 (64 bits)', 'Processor: Intel Core i5-4440 (3.10GHz)/AMD FX-6300 (3.50GHz)', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 760/AMD Radeon HD 7970', 'DirectX: Version 11', 'Storage: 40 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 7/8/10 (64 bits)', 'Processor: Intel Core i7-8700 (3.20GHz)/AMD Ryzen 7 2700 (3.20GHz)', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce GTX 980/AMD Radeon R9 390X', 'DirectX: Version 11', 'Storage: 40 GB available space', 'Additional Notes: SSD is recommended.']","[393380, 107410, 730, 418460, 359550, 493520, 291480, 686810, 736220, 42700, 202970, 973580, 10180, 24960, 1238860, 578080, 240, 496240]"
6,291480,Warface,Action,Free,Free,"1 Jul, 2014",MY.GAMES,MY.GAMES,Mixed,1013,Mixed,57729,62,"['Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'Co-op', 'First-Person', 'Online Co-Op', 'War', 'PvP', 'Massively Multiplayer', 'Military', 'Team-Based', 'Tactical', 'Zombies', 'Open World', 'Adventure', 'Strategy', 'Simulation', 'Great Soundtrack']",,,['win'],"['OS: Windows 7, Windows 8, Windows 10', 'Processor: Intel/AMD Dual-Core 2.0 GHz', 'Memory: 2 GB RAM', 'Graphics: NVIDIA GeForce 8600 GT 256MB / AMD ATI Radeon X1950 256MB', 'DirectX: Version 9.0c', 'Network: Broadband Internet connection', 'Storage: 15 GB available space', 'Sound Card: DirectX Compatible Sound Card with latest drivers']","['OS: Windows 7, Windows 8, Windows 10', 'Processor: Intel Core2Duo E6-series / Athlon64 X2 6400+', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GeForce 9600GT 512MB / AMD Radeon HD 4830 512MB', 'DirectX: Version 9.0c', 'Network: Broadband Internet connection', 'Storage: 15 GB available space', 'Sound Card: DirectX Compatible Sound Card with latest drivers']","[218230, 550650, 730, 227940, 440, 1085660, 767560, 552990, 444200, 236390, 393380, 202970, 581320, 107410, 359550, 230410, 223750, 42700]"
7,202970,Call of Duty®: Black Ops II,Action,"₹ 3,999","₹ 3,999","12 Nov, 2012",Treyarch,Activision,Very Positive,186,Very Positive,10575,74,"['Action', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'Singleplayer', 'Co-op', 'War', 'Online Co-Op', 'Team-Based', 'Futuristic', 'Survival', 'Controller', 'Tactical', 'Adventure', 'Great Soundtrack', 'Sci-fi', 'Massively Multiplayer', 'Atmospheric', 'Horror']",,"Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty®: Black Ops II propels players into a near future, 21st Century Cold War, where technology and weapons have converged to create a new generation of warfare.",['win'],,,"[730, 359550, 493520, 218230, 232090, 550, 581320, 311210, 291480, 393380, 218620, 548430, 42700, 578080, 10180, 594650, 10090, 107410]"
8,107410,Arma 3,Action,"₹ 1,999","₹ 1,999","12 Sep, 2013",Bohemia Interactive,Bohemia Interactive,Very Positive,2213,Very Positive,116007,74,"['Action', 'Multiplayer', 'Military', 'Simulation', 'Shooter', 'First-Person', 'Realistic', 'Open World', 'Tactical', 'FPS', 'Co-op', 'War', 'Strategy', 'Sandbox', 'Moddable', 'Combat', 'Online Co-Op', 'Team-Based', 'Singleplayer', 'Third-Person Shooter']","<div class=""game_page_autocollapse"" style=""max-height: 400px;"">
<img src=""https://steamcdn-a.akamaihd.net/steam/apps/107410/extras/Arma-3_PC-Editors-Choice-10_2013_v1.png?t=1591797265""> </img></div>",,['win'],"['OS: Windows 7 SP1 (64bit) ', 'Processor: Intel Dual-Core 2.4 GHz or AMD Dual-Core Athlon 2.5 GHz ', 'Memory: 4 GB RAM ', 'Graphics: NVIDIA GeForce 9800GT / AMD Radeon HD 5670 /  Intel HD Graphics 4000 with 512 MB VRAM ', 'DirectX®: 10 ', 'Hard Drive: 32 GB free space ', 'Audio: DirectX®-compatible on-board']","['OS: Windows 7 / 8 / 10 (64bit) ', 'Processor: Intel Core i5-4460 or AMD FX 4300 or better ', 'Memory: 6 GB RAM ', 'Graphics: NVIDIA GeForce GTX 660 / AMD Radeon HD 7800 Series with 2 GB VRAM ', 'DirectX®: 11 ', 'Hard Drive: 35 GB free space, SSD / Hybrid HDD / SSHD storage ', 'Sound: DirectX®-compatible soundcard']","[393380, 581320, 730, 418460, 359550, 223750, 686810, 736220, 291480, 24960, 202970, 42700, 518790, 460930, 236390, 218230, 240, 10180]"
9,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,Action,₹ 999,₹ 999,"21 Dec, 2017",PUBG Corporation,PUBG Corporation,Mixed,28912,Mixed,1239239,86,"['Survival', 'Shooter', 'Multiplayer', 'Battle Royale', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","<div class=""game_page_autocollapse"" style=""max-height: 400px;"">
<a class=""steamawards_app_banner_ctn"" href=""https://store.steampowered.com/steamawards/2018"">
<div class=""steamawards_app_banner_event"">
<div class=""steamawards_app_banner_awardstitle"">The Steam Awards </div>
<div class=""steamawards_app_banner_2018"">2018</div>
</div>
<div class=""steamawards_app_banner_contents"">
<div class=""steamawards_app_banner_left"">
<span class=""steamawards_app_banner_winner"">Winner</span>
<div class=""steamawards_app_banner_header award_title small"">Game of the Year <span>Award</span></div>
</div>
<div class=""steamawards_app_banner_right"">
<img src=""https://steamstore-a.akamaihd.net/public/images/promo/steamawards2018/SteamAward.png""/>
</div>
</div>
</a>
</div>",,['win'],"['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 7, Windows 8.1, Windows 10', 'Processor: Intel Core i5-4430 / AMD FX-6300', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 30 GB available space']","['Requires a 64-bit processor and operating system', 'OS: 64-bit Windows 7, Windows 8.1, Windows 10', 'Processor: Intel Core i5-6600K / AMD Ryzen 5 1600', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 30 GB available space']","[813820, 755790, 594650, 730, 202970, 548430, 252490, 460930, 550, 221100, 359550, 232090, 1057240, 884660, 617290, 493520, 291480, 218620]"
